
> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


> bsc-backend@1.0.0 build
> tsc


> bsc-backend@1.0.0 start
> node .


> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


POST /measurement/schuepbach 201 - - 14.655 ms
POST /measurement/schuepbach 201 - - 14.889 ms
POST /measurement/schuepbach 201 - - 13.505 ms
POST /measurement/schuepbach 201 - - 14.777 ms
POST /measurement/schuepbach 201 - - 14.950 ms
POST /measurement/schuepbach 201 - - 14.979 ms
POST /measurement/schuepbach 201 - - 15.159 ms
POST /measurement/schuepbach 201 - - 15.363 ms
POST /measurement/schuepbach 201 - - 14.728 ms
POST /measurement/schuepbach 201 - - 15.083 ms
POST /measurement/schuepbach 201 - - 13.855 ms
POST /measurement/schuepbach 201 - - 14.262 ms
POST /measurement/schuepbach 201 - - 15.966 ms
POST /measurement/schuepbach 201 - - 13.817 ms
POST /measurement/schuepbach 201 - - 14.771 ms
POST /measurement/schuepbach 201 - - 15.204 ms
POST /measurement/schuepbach 201 - - 13.172 ms
POST /measurement/schuepbach 201 - - 18.436 ms
POST /measurement/schuepbach 201 - - 13.854 ms
